rank,illustration_id,card_name,total_printings,set_code,set_name,deck_name,released_at,digital,promo
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,v10,From the Vault: Relics,,2010-08-27,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,cmd,Commander 2011,,2011-06-17,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,c13,Commander 2013,,2013-11-01,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,vma,Vintage Masters,,2014-06-16,1,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,c14,Commander 2014,,2014-11-07,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,c15,Commander 2015,,2015-11-13,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,pz1,Legendary Cube Prize Pack,,2015-11-18,1,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,c16,Commander 2016,,2016-11-11,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,cma,Commander Anthology,Commander Anthology: Heavenly Inferno,2017-06-09,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,c17,Commander 2017,,2017-08-25,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,cm2,Commander Anthology Volume II,Commander Anthology II: Mind Seize,2018-06-08,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,c18,Commander 2018,,2018-08-10,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,c19,Commander 2019,,2019-08-23,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,plst,The List,,2019-11-07,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,c20,Commander 2020,,2020-04-17,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,znc,Zendikar Rising Commander,,2020-09-25,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,cmr,Commander Legends,,2020-11-20,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,prm,Magic Online Promos,,2020-12-15,1,1
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,khc,Kaldheim Commander,,2021-02-05,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,c21,Commander 2021,,2021-04-23,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,afc,Forgotten Realms Commander,,2021-07-23,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,mic,Midnight Hunt Commander,,2021-09-24,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,voc,Crimson Vow Commander,,2021-11-19,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,nec,Neon Dynasty Commander,,2022-02-18,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,ncc,New Capenna Commander,,2022-04-29,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,clb,Commander Legends: Battle for Baldur's Gate,,2022-06-10,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,plg22,Love Your LGS 2022,,2022-07-01,,1
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,dmc,Dominaria United Commander,,2022-09-09,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,brc,The Brothers' War Commander,,2022-11-18,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,scd,Starter Commander Decks,,2022-12-02,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,onc,Phyrexia: All Will Be One Commander,,2023-02-10,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,moc,March of the Machine Commander,,2023-04-21,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,cmm,Commander Masters,,2023-08-04,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,woc,Wilds of Eldraine Commander,,2023-09-08,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,lcc,The Lost Caverns of Ixalan Commander,,2023-11-17,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,mkc,Murders at Karlov Manor Commander,,2024-02-09,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,m3c,Modern Horizons 3 Commander,,2024-06-14,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,mb2,Mystery Booster 2,,2024-08-02,,
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,pfdn,Foundations Promos,,2024-11-15,,1
1,146aaae4-93f4-409a-be32-010e86d137da,Sol Ring,43,fdc,Foundations Commander,,2024-11-15,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,tsp,Time Spiral,,2006-10-06,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,10e,Tenth Edition,,2007-07-13,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,m10,Magic 2010,,2009-07-17,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,hop,Planechase,,2009-09-04,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,h09,Premium Deck Series: Slivers,,2009-11-20,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,dde,Duel Decks: Phyrexia vs. the Coalition,,2010-03-19,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,arc,Archenemy,,2010-06-18,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,m11,Magic 2011,,2010-07-16,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,td0,Magic Online Theme Decks,,2010-11-08,1,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,td2,Duel Decks: Mirrodin Pure vs. New Phyrexia,,2011-05-14,1,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,cmd,Commander 2011,,2011-06-17,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,ddh,Duel Decks: Ajani vs. Nicol Bolas,,2011-09-02,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,pc2,Planechase 2012,,2012-06-01,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,mma,Modern Masters,,2013-06-07,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,c13,Commander 2013,,2013-11-01,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,ddn,Duel Decks: Speed vs. Cunning,,2014-09-05,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,c14,Commander 2014,,2014-11-07,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,c15,Commander 2015,,2015-11-13,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,c16,Commander 2016,,2016-11-11,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,pca,Planechase Anthology,Planechase Anthology,2016-11-25,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,cma,Commander Anthology,Commander Anthology: Heavenly Inferno,2017-06-09,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,c17,Commander 2017,,2017-08-25,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,cm2,Commander Anthology Volume II,Commander Anthology II: Mind Seize,2018-06-08,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,c18,Commander 2018,,2018-08-10,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,uma,Ultimate Masters,,2018-12-07,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,c19,Commander 2019,,2019-08-23,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,znc,Zendikar Rising Commander,,2020-09-25,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,plst,The List,,2020-09-26,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,cmr,Commander Legends,,2020-11-20,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,prm,Magic Online Promos,,2020-12-15,1,1
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,tsr,Time Spiral Remastered,,2021-03-19,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,afc,Forgotten Realms Commander,,2021-07-23,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,dmc,Dominaria United Commander,,2022-09-09,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,brc,The Brothers' War Commander,,2022-11-18,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,moc,March of the Machine Commander,,2023-04-21,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,lcc,The Lost Caverns of Ixalan Commander,,2023-11-17,,
2,c6230ffb-dd2c-4a2c-aeaf-13ba42c89472,Terramorphic Expanse,39,otc,Outlaws of Thunder Junction Commander,,2024-04-19,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,con,Conflux,,2009-02-06,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,pc2,Planechase 2012,,2012-06-01,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,cn2,Conspiracy: Take the Crown,,2016-08-26,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,c16,Commander 2016,,2016-11-11,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,pca,Planechase Anthology,Planechase Anthology,2016-11-25,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,c17,Commander 2017,,2017-08-25,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,cm2,Commander Anthology Volume II,Commander Anthology II: Mind Seize,2018-06-08,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,c19,Commander 2019,,2019-08-23,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,c20,Commander 2020,,2020-04-17,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,plst,The List,,2020-09-26,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,c21,Commander 2021,,2021-04-23,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,afc,Forgotten Realms Commander,,2021-07-23,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,mic,Midnight Hunt Commander,,2021-09-24,,
3,f67845cb-fe3b-4f90-8de2-bdb69daca307,Exotic Orchard,35,voc,Crimson Vow Commander,,2021-11-19,,
